Date/Time,Cooling:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Electricity:HVAC [J](TimeStep),InteriorLights:Electricity [J](TimeStep),IndoorLivingWall:InteriorLights:Electricity [J](TimeStep),Electricity:Facility [J](TimeStep) 
 07/08  01:25:00,11064701.57672619,193480.17694165633,3203184.3953332775,47461194.41868293,47301174.65718293,65379376.45569108 
 07/08  01:26:00,11064701.57672619,194019.77509227552,3203184.3953332775,47461186.8875952,47301167.1260952,65379651.70936843 
 07/08  01:27:00,11064701.57672619,194502.03718532197,3203184.3953332775,47461185.28477938,47301165.52327938,65379876.27922207 
 07/08  01:28:00,11064701.57672619,195101.75993424657,3203184.3953332775,47461183.631875575,47301163.87037557,65380218.971202835 
 07/08  01:29:00,11064701.57672619,195539.91330009754,3203184.3953332775,47461181.93603918,47301162.17453918,65380400.87375962 
 07/08  01:30:00,11064701.57672619,196164.15226927423,3203184.3953332775,47461181.69991007,47301161.93841007,65380770.94144706 
 07/08  01:31:00,11064701.57672619,196684.99183918815,3203184.3953332775,47461181.37076039,47301161.60926039,65381038.26459988 
 07/08  01:32:00,11064701.57672619,197115.95490764905,3203184.3953332775,47461180.962901,47301161.201401,65381216.40345594 
 07/08  01:33:00,11064701.57672619,197769.28098597386,3203184.3953332775,47461180.58366334,47301160.822163336,65381617.5925676 
 07/08  01:34:00,11064701.57672619,198289.97929144194,3203184.3953332775,47461180.23662509,47301160.47512509,65381886.86039459 
 07/08  01:35:00,11064701.57672619,198821.41196795375,3203184.3953332775,47461179.92178627,47301160.16028627,65382167.687349826 
 07/08  01:36:00,11064701.57672619,199383.61882173934,3203184.3953332775,47461179.64272459,47301159.88122459,65382480.00765234 
 07/08  01:37:00,11064701.57672619,199835.89884444707,3203184.3953332775,47461179.36366289,47301159.60216289,65382683.08905254 
 07/08  01:38:00,11064701.57672619,200519.01722436905,3203184.3953332775,47461179.084601216,47301159.323101215,65383117.77986749 
 07/08  01:39:00,11064701.57672619,201149.99882825982,3203184.3953332775,47461178.83773895,47301159.07623895,65383501.01660282 
 07/08  01:40:00,11064701.57672619,201638.91458844685,3203184.3953332775,47461178.587298974,47301158.82579898,65383742.88212939 
 07/08  01:41:00,11064701.57672619,202200.45794953933,3203184.3953332775,47461178.32612587,47301158.56462587,65384058.04161696 
 07/08  01:42:00,11064701.57672619,202789.43350035846,3203184.3953332775,47461178.047064185,47301158.285564184,65384401.32377695 
 07/08  01:43:00,11064701.57672619,203405.9515362261,3203184.3953332775,47461177.721492216,47301157.959992215,65384772.82159874 
 07/08  01:44:00,11064701.57672619,203959.33594045203,3203184.3953332775,47461177.32436597,47301157.56286598,65385081.82005509 
 07/08  01:45:00,11064701.57672619,204494.61752402867,3203184.3953332775,47461176.9952163,47301157.2337163,65385373.44717319 
 07/08  01:46:00,11064701.57672619,205186.6079992387,3203184.3953332775,47461176.698266044,47301156.93676604,65385822.528255925 
 07/08  01:47:00,11064701.57672619,205778.03372279208,3203184.3953332775,47461176.36553866,47301156.604038656,65386171.68750275 
 07/08  01:48:00,11064701.57672619,206321.8748607925,3203184.3953332775,47461081.785094425,47301062.02359443,65386379.59517916 
 07/08  01:49:00,11064701.57672619,207019.38754270377,3203184.3953332775,47460876.51376033,47300856.75226033,65386631.264041945 
 07/08  01:50:00,11064701.57672619,207581.88486244626,3203184.3953332775,47460910.62726223,47300890.86576223,65386987.97418158 
 07/08  01:51:00,11064701.57672619,208044.75512249413,3203184.3953332775,47460810.11496837,47300790.35346837,65387111.08913179 
 07/08  01:52:00,11064701.57672619,208819.18873441557,3203184.3953332775,47460468.801063865,47300449.039563864,65387305.66347126 
 07/08  01:53:00,11064701.57672619,209356.4956449698,3203184.3953332775,47460265.107501596,47300245.346001595,65387401.41132483 
 07/08  01:54:00,11064701.57672619,209913.21646580027,3203184.3953332775,47460121.29055889,47300101.52905889,65387577.08096286 
 07/08  01:55:00,11064701.57672619,210728.7689562666,3203184.3953332775,47459872.78255252,47299853.021052524,65387907.58904351 
