Tap (pu) CEABaseline,Tap (pu) CEASmoothing
1.00625,1.0125
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
1.00625,1.00625
