datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,row_is_current,version_nbr
1/2/2024 7:00:00 PM,1/2/2024 2:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,23.960000,24.520000,0.000000,0.560000,True,1
1/2/2024 8:00:00 PM,1/2/2024 3:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,27.200000,27.800000,0.000000,0.610000,True,1
1/2/2024 9:00:00 PM,1/2/2024 4:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,31.650000,31.960000,-0.030000,0.340000,True,1
1/2/2024 10:00:00 PM,1/2/2024 5:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,63.670000,63.410000,0.000000,-0.260000,True,1
1/2/2024 11:00:00 PM,1/2/2024 6:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,51.920000,51.080000,0.000000,-0.840000,True,1
1/3/2024 12:00:00 AM,1/2/2024 7:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,52.330000,50.260000,-1.070000,-1.000000,True,1
1/3/2024 1:00:00 AM,1/2/2024 8:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,35.560000,32.880000,-1.930000,-0.760000,True,1
1/3/2024 2:00:00 AM,1/2/2024 9:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,76.600000,65.190000,-10.070000,-1.340000,True,1
1/3/2024 3:00:00 AM,1/2/2024 10:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,29.930000,29.480000,-0.450000,-0.010000,True,1
1/3/2024 4:00:00 AM,1/2/2024 11:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,38.760000,39.140000,-0.210000,0.580000,True,1
1/3/2024 5:00:00 AM,1/3/2024 12:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,130.340000,132.330000,-0.410000,2.390000,True,1
1/3/2024 6:00:00 AM,1/3/2024 1:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,36.390000,36.260000,-0.770000,0.640000,True,1
1/3/2024 7:00:00 AM,1/3/2024 2:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,77.720000,68.630000,-10.250000,1.160000,True,1
1/3/2024 8:00:00 AM,1/3/2024 3:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,29.930000,29.280000,-1.160000,0.510000,True,1
1/3/2024 9:00:00 AM,1/3/2024 4:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,30.680000,29.460000,-1.610000,0.380000,True,1
1/3/2024 10:00:00 AM,1/3/2024 5:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,29.890000,27.800000,-2.120000,0.030000,True,1
1/3/2024 11:00:00 AM,1/3/2024 6:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,51.190000,45.060000,-5.840000,-0.290000,True,1
1/3/2024 12:00:00 PM,1/3/2024 7:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,64.580000,56.420000,-7.770000,-0.390000,True,1
1/3/2024 1:00:00 PM,1/3/2024 8:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,51.070000,46.810000,-4.070000,-0.180000,True,1
1/3/2024 2:00:00 PM,1/3/2024 9:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,35.800000,33.650000,-2.420000,0.280000,True,1
1/3/2024 3:00:00 PM,1/3/2024 10:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,26.810000,25.970000,-1.310000,0.460000,True,1
1/3/2024 4:00:00 PM,1/3/2024 11:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,29.090000,26.570000,-3.290000,0.770000,True,1
1/3/2024 5:00:00 PM,1/3/2024 12:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,30.920000,28.540000,-3.400000,1.010000,True,1
1/3/2024 6:00:00 PM,1/3/2024 1:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,29.470000,18.080000,-12.610000,1.220000,True,1
1/3/2024 7:00:00 PM,1/3/2024 2:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,31.210000,28.840000,-3.520000,1.140000,True,1
1/3/2024 8:00:00 PM,1/3/2024 3:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,27.450000,18.280000,-9.870000,0.710000,True,1
1/3/2024 9:00:00 PM,1/3/2024 4:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,36.710000,31.790000,-5.400000,0.470000,True,1
1/3/2024 10:00:00 PM,1/3/2024 5:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,39.960000,37.460000,-2.920000,0.430000,True,1
1/3/2024 11:00:00 PM,1/3/2024 6:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,31.970000,30.360000,-1.840000,0.230000,True,1
1/4/2024 12:00:00 AM,1/3/2024 7:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,39.220000,36.010000,-3.390000,0.180000,True,1
1/4/2024 1:00:00 AM,1/3/2024 8:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,36.680000,32.250000,-4.700000,0.270000,True,1
1/4/2024 2:00:00 AM,1/3/2024 9:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,35.200000,33.000000,-2.870000,0.670000,True,1
1/4/2024 3:00:00 AM,1/3/2024 10:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,24.760000,24.840000,-0.620000,0.700000,True,1
1/4/2024 4:00:00 AM,1/3/2024 11:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,26.060000,25.500000,-1.410000,0.850000,True,1
1/4/2024 5:00:00 AM,1/4/2024 12:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,23.160000,22.410000,-1.570000,0.810000,True,1
1/4/2024 6:00:00 AM,1/4/2024 1:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,25.830000,24.680000,-1.890000,0.740000,True,1
1/4/2024 7:00:00 AM,1/4/2024 2:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,25.270000,24.160000,-1.810000,0.700000,True,1
1/4/2024 8:00:00 AM,1/4/2024 3:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,24.650000,23.620000,-1.710000,0.680000,True,1
1/4/2024 9:00:00 AM,1/4/2024 4:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,26.250000,25.450000,-1.540000,0.740000,True,1
1/4/2024 10:00:00 AM,1/4/2024 5:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,24.350000,23.890000,-0.940000,0.480000,True,1
1/4/2024 11:00:00 AM,1/4/2024 6:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,46.310000,44.030000,-2.210000,-0.070000,True,1
